Timestamp,Unix,Difficulty,Task
"Fri Dec 03 2021, 14:20:38",1638541239,0,Resetting
"Fri Dec 03 2021, 14:20:39",1638541240,4,Task
"Fri Dec 03 2021, 15:22:06",1638544927,4,Task
"Fri Dec 03 2021, 15:22:07",1638544928,0,Resetting
"Sat Dec 04 2021, 10:40:50",1638614451,0,Resetting
"Sat Dec 04 2021, 10:40:51",1638614452,7,Task
"Sat Dec 04 2021, 11:26:40",1638617200,7,Task
"Sat Dec 04 2021, 11:26:41",1638617201,0,Resetting
"Sat Dec 04 2021, 11:46:12",1638618373,0,Resetting
"Sat Dec 04 2021, 11:46:13",1638618374,8,Task
"Sat Dec 04 2021, 12:19:58",1638620398,8,Task
"Sat Dec 04 2021, 12:19:59",1638620399,0,Resetting
"Sat Dec 04 2021, 12:28:00",1638620881,0,Resetting
"Sat Dec 04 2021, 12:28:01",1638620882,2,Task
"Sat Dec 04 2021, 12:45:08",1638621909,2,Task
"Sat Dec 04 2021, 12:45:09",1638621910,0,Resetting
"Sat Dec 04 2021, 14:20:37",1638627637,0,Resetting
"Sat Dec 04 2021, 14:20:38",1638627638,6,Task
"Sat Dec 04 2021, 16:21:12",1638634872,6,Task
"Sat Dec 04 2021, 16:21:13",1638634873,0,Resetting
"Sat Dec 04 2021, 19:13:49",1638645230,0,Resetting
"Sat Dec 04 2021, 19:13:50",1638645231,9,Task
"Sat Dec 04 2021, 20:37:02",1638650223,9,Task
"Sat Dec 04 2021, 20:37:03",1638650224,0,Resetting
"Sun Dec 05 2021, 12:45:22",1638708323,0,Resetting
"Sun Dec 05 2021, 12:45:23",1638708324,4,Task
"Sun Dec 05 2021, 13:13:10",1638709991,4,Task
"Sun Dec 05 2021, 13:13:11",1638709992,0,Resetting
"Sun Dec 05 2021, 13:30:23",1638711024,0,Resetting
"Sun Dec 05 2021, 13:30:24",1638711025,8,Task
"Sun Dec 05 2021, 14:00:25",1638712826,8,Task
"Sun Dec 05 2021, 14:00:26",1638712827,0,Resetting
"Sun Dec 05 2021, 15:14:01",1638717242,0,Resetting
"Sun Dec 05 2021, 15:14:02",1638717243,7,Task
"Sun Dec 05 2021, 16:15:18",1638720918,7,Task
"Sun Dec 05 2021, 16:15:19",1638720919,0,Resetting
"Sun Dec 05 2021, 17:03:32",1638723813,0,Resetting
"Sun Dec 05 2021, 17:03:33",1638723814,3,Task
"Sun Dec 05 2021, 18:30:31",1638729031,3,Task
"Sun Dec 05 2021, 18:30:32",1638729032,0,Resetting
"Mon Dec 06 2021, 13:58:58",1638799139,0,Resetting
"Mon Dec 06 2021, 13:58:59",1638799140,5,Task
"Mon Dec 06 2021, 14:32:14",1638801135,5,Task
"Mon Dec 06 2021, 14:32:15",1638801136,0,Resetting
"Mon Dec 06 2021, 15:08:12",1638803292,0,Resetting
"Mon Dec 06 2021, 15:08:13",1638803293,6,Task
"Mon Dec 06 2021, 16:01:41",1638806502,6,Task
"Mon Dec 06 2021, 16:01:42",1638806503,0,Resetting
"Mon Dec 06 2021, 16:16:19",1638807379,0,Resetting
"Mon Dec 06 2021, 16:16:20",1638807380,1,Task
"Mon Dec 06 2021, 16:49:55",1638809395,1,Task
"Mon Dec 06 2021, 16:49:56",1638809396,0,Resetting
"Mon Dec 06 2021, 17:33:32",1638812012,0,Resetting
"Mon Dec 06 2021, 17:33:33",1638812013,9,Task
"Mon Dec 06 2021, 17:49:06",1638812946,9,Task
"Mon Dec 06 2021, 17:49:07",1638812947,0,Resetting
"Tue Dec 07 2021, 11:58:41",1638878322,0,Resetting
"Tue Dec 07 2021, 11:58:42",1638878323,3,Task
"Tue Dec 07 2021, 12:40:02",1638880803,3,Task
"Tue Dec 07 2021, 12:40:03",1638880804,0,Resetting
"Tue Dec 07 2021, 12:57:37",1638881858,0,Resetting
"Tue Dec 07 2021, 12:57:38",1638881859,5,Task
"Tue Dec 07 2021, 13:15:31",1638882932,5,Task
"Tue Dec 07 2021, 13:15:32",1638882933,0,Resetting
"Tue Dec 07 2021, 13:48:59",1638884940,0,Resetting
"Tue Dec 07 2021, 13:49:00",1638884941,2,Task
"Tue Dec 07 2021, 15:17:39",1638890260,2,Task
"Tue Dec 07 2021, 15:17:40",1638890261,0,Resetting
"Tue Dec 07 2021, 17:34:32",1638898472,0,Resetting
"Tue Dec 07 2021, 17:34:33",1638898473,6,Task
"Tue Dec 07 2021, 18:05:39",1638900340,6,Task
"Tue Dec 07 2021, 18:05:40",1638900341,0,Resetting
"Wed Dec 08 2021, 13:22:39",1638969760,0,Resetting
"Wed Dec 08 2021, 13:22:40",1638969761,3,Task
"Wed Dec 08 2021, 14:22:32",1638973352,3,Task
"Wed Dec 08 2021, 14:22:33",1638973353,0,Resetting
"Wed Dec 08 2021, 16:59:46",1638982786,0,Resetting
"Wed Dec 08 2021, 16:59:47",1638982787,6,Task
"Wed Dec 08 2021, 18:19:36",1638987576,6,Task
"Wed Dec 08 2021, 18:19:37",1638987577,0,Resetting
"Wed Dec 08 2021, 18:28:05",1638988085,0,Resetting
"Wed Dec 08 2021, 18:28:06",1638988086,10,Task
"Wed Dec 08 2021, 19:44:37",1638992677,10,Task
"Wed Dec 08 2021, 19:44:38",1638992678,0,Resetting
"Wed Dec 08 2021, 20:07:02",1638994023,0,Resetting
"Wed Dec 08 2021, 20:07:03",1638994024,2,Task
"Wed Dec 08 2021, 21:00:20",1638997221,2,Task
"Wed Dec 08 2021, 21:00:21",1638997222,0,Resetting
"Thu Dec 09 2021, 09:43:24",1639043005,0,Resetting
"Thu Dec 09 2021, 09:43:25",1639043006,1,Task
"Thu Dec 09 2021, 11:10:39",1639048240,1,Task
"Thu Dec 09 2021, 11:10:40",1639048241,0,Resetting
"Thu Dec 09 2021, 12:40:09",1639053610,0,Resetting
"Thu Dec 09 2021, 12:40:10",1639053611,3,Task
"Thu Dec 09 2021, 13:47:43",1639057663,3,Task
"Thu Dec 09 2021, 13:47:44",1639057664,0,Resetting
"Thu Dec 09 2021, 14:46:32",1639061193,0,Resetting
"Thu Dec 09 2021, 14:46:33",1639061194,4,Task
"Thu Dec 09 2021, 16:22:20",1639066940,4,Task
"Thu Dec 09 2021, 16:22:21",1639066941,0,Resetting
"Thu Dec 09 2021, 16:41:57",1639068118,0,Resetting
"Thu Dec 09 2021, 16:41:58",1639068119,8,Task
"Thu Dec 09 2021, 17:24:25",1639070665,8,Task
"Thu Dec 09 2021, 17:24:26",1639070666,0,Resetting
"Fri Dec 10 2021, 11:43:23",1639136603,0,Resetting
"Fri Dec 10 2021, 11:43:24",1639136604,7,Task
"Fri Dec 10 2021, 12:22:45",1639138965,7,Task
"Fri Dec 10 2021, 12:22:46",1639138966,0,Resetting
"Fri Dec 10 2021, 12:28:20",1639139301,0,Resetting
"Fri Dec 10 2021, 12:28:21",1639139302,5,Task
"Fri Dec 10 2021, 15:46:38",1639151198,5,Task
"Fri Dec 10 2021, 15:46:39",1639151199,0,Resetting
"Fri Dec 10 2021, 17:23:42",1639157023,0,Resetting
"Fri Dec 10 2021, 17:23:43",1639157024,2,Task
"Fri Dec 10 2021, 19:03:40",1639163020,2,Task
"Fri Dec 10 2021, 19:03:41",1639163021,0,Resetting
"Sat Dec 11 2021, 12:15:10",1639224910,0,Resetting
"Sat Dec 11 2021, 12:15:12",1639224912,8,Find out how to synchronize force and angle peaks
"Sat Dec 11 2021, 12:45:50",1639226750,8,Find out how to synchronize force and angle peaks
"Sat Dec 11 2021, 12:45:51",1639226752,0,Resetting
"Sat Dec 11 2021, 12:47:42",1639226863,0,Resetting
"Sat Dec 11 2021, 12:47:43",1639226864,6,Match up IDs
"Sat Dec 11 2021, 14:17:52",1639232272,6,Match up IDs
"Sat Dec 11 2021, 14:17:54",1639232274,0,Resetting
"Sat Dec 11 2021, 15:14:33",1639235673,0,Resetting
"Sat Dec 11 2021, 15:14:34",1639235675,5,Turn cutter into a separate function
"Sat Dec 11 2021, 15:39:45",1639237186,5,Turn cutter into a separate function
"Sat Dec 11 2021, 15:39:47",1639237187,0,Resetting
"Sat Dec 11 2021, 15:40:02",1639237203,0,Resetting
"Sat Dec 11 2021, 15:40:04",1639237204,2,convert all data
"Sat Dec 11 2021, 16:53:45",1639241626,2,convert all data
"Sat Dec 11 2021, 16:53:47",1639241629,0,Resetting
"Sat Dec 11 2021, 17:36:24",1639244185,0,Resetting
"Sat Dec 11 2021, 17:36:26",1639244187,8,Poincare plot
"Sat Dec 11 2021, 18:12:15",1639246335,8,Poincare plot
"Sat Dec 11 2021, 18:12:16",1639246337,0,Resetting